Loafers ,Tan,Men,['Rockfield'],359,,3.9,3552,420
Combo Pack of 5 Casual Loafer Sneakers Shoes High Tops ,Multicolor,Men,['Shoefly'],949,61,3.9,968,146
Running Shoes ,Black,Men,['Deals4you'],331,,3.8,2379,269
Combo Pack of 2 Latest Collection Stylish Casual Shoes Sneakers ,Multicolor,Men,['Camfoot'],328,67,3.8,2064,272
Feather Print New Spring Season White Shoes Men Running Flat PU Sneakers Male White Board Shoes Sports Outdoor Shoes  Sneakers ,White,Men,['ASTEROID'],599,40,4.3,69,6
Mojaris ,Black,Men,['Aadi'],426,57,4,420,61
Bounder- Arkala Running Shoes ,Navy,Men,['Skechers'],3479,40,4.1,401,38
Sneakers ,Multicolor,Men,['WELDONE'],683,,3.9,7949,1085
Gamble XT IDP Running Shoes ,Grey,Men,['Puma'],1399,65,4,1601,181
SOCKS Running Shoes ,"Grey, Red",Men,['Taurene'],499,,3.9,3412,501
EQUALIZER 3.0 Walking Shoes ,Black,Men,['Skechers'],2879,40,4.4,215,25
Wired Walking Shoes ,Black,Men,['Puma'],1749,50,4.4,527,75
Men's Synthetic Leather Casual Office Use Wedding Formal Shoes For Mens And Boys Slip On For Men Slip On ,Black,Men,"['Shoes', 'Bank']",329,,3.8,6734,970
SCALE Slip On ,Black,Men,['Bata'],847,,4.1,3440,512
"Drag-02 Running shoes for boys | sports shoes for men | Latest Stylish Casual sneakers for men | Lace up lightweight navy shoes for running, walking, gym, trekking, hiking & party Lace Up Lace Up Training & Gym Shoes ","Navy, Blue",Men,['Asian'],999,33,4.1,1176,199
Men SM-406 Grey Running Shoes ,Grey,Men,['Sparx'],849,19,4.2,25051,3724
SM-162 Sneakers ,Black,Men,['Sparx'],769,18,4.2,67806,10761
Combo Pack of 2 Latest Collection Stylish casual Sports Running Shoes Running Shoes ,Multicolor,Men,['Axter'],478,52,3.6,528,55
Go Run Mojo-Radar Running Shoes ,"Black, Red, White",Men,['Skechers'],3179,47,4,280,33
Combo pack of 2 sports and running shoes for men Running Shoes ,Multicolor,Men,['Sporter'],499,50,3.5,1411,229
ENCOUNTER 7 Football Shoes ,"Blue, Yellow",Men,['Nivia'],552,5,3.9,253,32
Troy MU IDP Walking Shoes ,Grey,Men,['Puma'],1399,65,3.9,414,65
ROYCE-2 Running Shoes ,Blue,Men,['Campus'],954,9,4.2,28598,4350
Ontario IDP Running Shoes ,Black,Men,['Puma'],1500,,4.1,1285,161
Corporate Loafers Slip On Slip On ,Black,Men,['Bata'],799,,4.1,1407,210
Casuals ,Grey,Men,['Sukun'],426,,4.1,2156,297
Loafers ,Black,Men,['Provogue'],664,,3.6,13240,1518
Propel 3D MU IDP Running Shoes ,Blue,Men,['Puma'],1399,65,4.2,381,62
Sneakers ,Grey,Men,['Provogue'],809,,4,5184,803
Combat Army Boot For Men Boots ,"Green, Black",Men,"['Para', 'Trooper']",999,56,4,2181,330
"sports shoes for men | Latest Stylish Casual sneakers for men | Lace up lightweight shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men� Sneakers ",Black,Men,['layasa'],389,61,4.1,10830,1601
Walking Shoes ,Black,Men,['MILESWALKER'],360,63,3.8,961,141
"Cute Grey Peach Sports Shoes,Gym Shoes,Casual Shoes,Walking Shoes, Running Shoes ","Grey, Pink",Women,['Asian'],489,,4.1,20839,3504
OXYFIT Casuals ,Navy,Men,['Campus'],789,1,4.2,2210,323
COURTKING2 Badminton Shoes ,Green,Men,['Yonex'],1299,27,4.3,14145,1915
