"White Blue Sports Shoes,Gym Shoes,Training Shoes,Formal Shoes,Walking Shoes, Running Shoes ","White, Blue",Men,Asian,640,35.0,4.0,92580.0,13814.0
"sports shoes for men | Latest Stylish Casual sneakers for men | Lace up lightweight shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men� Running Shoes ","Black, White",Men,layasa,389,61.0,4.1,10830.0,1601.0
Walking Shoes ,Olive,Men,"Red, Tape",1259,70.0,4.2,374.0,61.0
Propel 3D IDP Running Shoes ,Grey,Men,Puma,1399,65.0,4.2,6272.0,893.0
"Airsocks-12 Men's Flyknit Socks Sneakers,Ultra-lightweight, Breathable, Walking, Running, Casual Athleisure Knitted Sock Shoes Walking Shoes ","Grey, Maroon",Men,Asian,649,56.0,4.1,14562.0,2304.0
Wired Walking Shoes ,Black,Men,Puma,1749,50.0,4.4,527.0,75.0
Burst Slipon Wn s IDP Sneakers ,Green,Women,Puma,1937,51.0,4.3,2133.0,338.0
EASY VULC 2.0 Sneakers ,Black,Men,ADIDAS,2127,46.0,4.0,1006.0,101.0
Troy MU IDP Walking Shoes ,Grey,Men,Puma,1399,65.0,3.9,414.0,65.0
PRO-CAP-AW1016 Boots ,Brown,Men,Provogue,799,55.0,4.0,6151.0,985.0
Burst Slipon Wn s IDP Sneakers ,Green,Women,Puma,1937,51.0,4.3,2133.0,337.0
school shoes Running Shoes ,Black,Men,ADIDAS,664,73.0,3.5,325.0,40.0
Propel 3D MU IDP Running Shoes ,Blue,Men,Puma,1399,65.0,4.2,381.0,62.0
WNDR-11 Running Shoes For Men Running Shoes ,Multicolor,Men,TR,499,50.0,4.3,107.0,20.0
Density Running Shoes ,"Navy, White",Men,Density,445,55.0,3.9,31777.0,4489.0
Walking Shoes ,Black,Men,MILESWALKER,360,63.0,3.8,961.0,141.0
Corporate Derby Lace Up Derby ,Black,Men,Bata,790,1.0,4.1,971.0,154.0
Men Synthetic Leather Office Black Formal Shoes Slip On Shoes ,Black,Men,Kraasa,474,52.0,3.8,14198.0,2231.0
